,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Rating
0,Orms Pro Photo Warehouse North,Electronics Store,161,-33.88237507673728,18.63626648785036,4c9757097605199caf20c8a3,Bellville,8,No Rating Yet
1,Limnos Bakery,Bakery,178,-33.88292471301843,18.635199240909177,4ba85f7bf964a52079d839e3,Bellville,11,No Rating Yet
2,Vida E Caffè,Café,424,-33.8800206224521,18.635831571104212,53884c6d498e39acdc8e2ea0,Bellville,13,No Rating Yet
3,M-Kem,Pharmacy,531,-33.88830814540221,18.635206236908818,4ba20672f964a520ffd637e3,Bellville,34,No Rating Yet
4,Yuz Sushi,Sushi Restaurant,420,-33.880080355807856,18.635715593392188,4dc19693b0fb1c18ee67094d,Bellville,8,No Rating Yet
5,Virgin Active Health Club,Gym,800,-33.87719041759904,18.63327861060014,4c41a7cb3735be9a23b218a4,Bellville,44,No Rating Yet
6,Woolworths,Department Store,937,-33.87543188038071,18.635184907982236,4c7e63d1b53db1f7b1ce9f11,Bellville,39,No Rating Yet
7,Cattle Baron Grill House,Steakhouse,736,-33.87873,18.63165,4daf12894df0f639f2595242,Bellville,20,No Rating Yet
8,Yummy zone,Sushi Restaurant,823,-33.87633671030918,18.63694505787748,4f47cbeae4b0683d4ec88271,Bellville,7,No Rating Yet
9,Copper Club Eatery,Burger Joint,996,-33.876739501953125,18.6301326751709,564dfed8498ee48b0efd5236,Bellville,5,No Rating Yet
10,Cantina Tequila,Mexican Restaurant,249,-33.881891972374646,18.635338154427853,4f9bb9cfe4b0b045845a4892,Bellville,9,No Rating Yet
11,Spar,Grocery Store,817,-33.8763890573547,18.63689856777257,4d74b8b19a296ea826f958a9,Bellville,5,No Rating Yet
12,Nando's,Portuguese Restaurant,377,-33.88044331,18.6358673,4c443536dd1f2d7f94777ff9,Bellville,10,No Rating Yet
13,Stones,Bar,356,-33.88067423375431,18.635746975609592,4d500e72abb4594169deb718,Bellville,3,No Rating Yet
14,Starlight Diner,Diner,434,-33.8829867037818,18.632254300055862,4c3701162c8020a160318800,Bellville,19,No Rating Yet
15,Buckleys Pub and Foosball Bar,Bar,229,-33.88204412884141,18.63544355459686,4bf2c0cc55c7c9b6bb736204,Bellville,9,No Rating Yet
16,Danskraal,Nightclub,780,-33.88937445136622,18.631852269172672,4c2658c83703d13a7f3aa536,Bellville,6,No Rating Yet
17,KFC,Fast Food Restaurant,139,-33.882901165544986,18.63574276080288,4c4f05d6fb742d7f5343432f,Bellville,4,No Rating Yet
18,Vesuvio Pizzaria,Pizza Place,929,-33.87758222078489,18.630070122624964,4eea3dc80aafda6d14e95d11,Bellville,9,No Rating Yet
19,Buena Vista Social Cafe,Cuban Restaurant,775,-33.88115810898157,18.62907886505127,4c990ed807916dcb0780f11b,Bellville,3,No Rating Yet
20,Live Mart,Asian Restaurant,421,-33.880012175929075,18.636011336630194,4d318d8c2c76a143ca9d66c7,Bellville,2,No Rating Yet
21,Deeghuys,Bakery,724,-33.888883089720984,18.632073911868595,51a9d161498e5d7766af448a,Bellville,5,No Rating Yet
22,Sasol Oaks Service Station,Gas Station,887,-33.89066009,18.63211119,4e3059fcc65b80dfd84a37f2,Bellville,1,No Rating Yet
23,Kamili Coffee,Coffee Shop,217,-33.922034000000004,18.41977,53ca29bb498e3cb77a910554,City Bowl,74,No Rating Yet
24,Fork Restaurant,Tapas Restaurant,219,-33.92233666328434,18.41928576141392,4b52225cf964a5208e6a27e3,City Bowl,96,No Rating Yet
25,Bombay Brasserie,Indian Restaurant,162,-33.92476688168477,18.41978583783833,4baa769ff964a5207d6c3ae3,City Bowl,35,No Rating Yet
26,Aces 'n Spades,Bar,273,-33.92138527642458,18.42000551633646,502e9348e4b047efecff0430,City Bowl,121,No Rating Yet
27,City Hall,City Hall,305,-33.92518468373031,18.4237825895722,4b6b08e2f964a5202aee2be3,City Bowl,21,No Rating Yet
28,Bread Milk & Honey,Café,206,-33.92551953577516,18.421444371745203,4b864d10f964a5203f8531e3,City Bowl,64,No Rating Yet
29,The Gin Bar,Cocktail Bar,371,-33.92273288691907,18.417150034224644,54d63408498e31d1e8e09e57,City Bowl,132,No Rating Yet
30,Addis in Cape,Ethiopian Restaurant,237,-33.92288952723883,18.41861984267377,4bc8a3538b7c9c74978f38cf,City Bowl,84,No Rating Yet
31,Grand Daddy Hotel,Hotel,289,-33.92111949925801,18.42066498034945,4b83ea28f964a520771631e3,City Bowl,75,No Rating Yet
32,Moro Gelato,Dessert Shop,360,-33.924214,18.41714,597ca4f5a6fe4d0dfc06d374,City Bowl,14,No Rating Yet
33,Daddy cool,Bar,287,-33.921155,18.420494,4be0617898f2a593360cc25a,City Bowl,12,No Rating Yet
34,Taj Cape Town,Hotel,160,-33.92447827742117,18.41952301924581,4d26a54b068e8cfac9efb24c,City Bowl,84,No Rating Yet
35,Yourstruly,Coffee Shop,370,-33.924319433402374,18.417055746248256,4cd50dac8e5b6a317f1b74ac,City Bowl,62,No Rating Yet
36,The Shortmarket Club,French Restaurant,343,-33.92131098622614,18.41865200787468,577801a2498ee32e9821b7ae,City Bowl,59,No Rating Yet
37,Honest Chocolate Café,Café,370,-33.92273011702641,18.41715598581713,54955dc0498e505982e2a598,City Bowl,49,No Rating Yet
38,Food Lover's Market,Restaurant,118,-33.92317129835544,18.41988525681402,50c98ac5e4b090de85b20bed,City Bowl,94,No Rating Yet
39,91 Loop,Hostel,296,-33.922020394401216,18.418511166831728,57420daa498ec52815f93c68,City Bowl,24,No Rating Yet
40,Tjing Tjing Rooftop Bar,Cocktail Bar,253,-33.92235980952539,18.41877245743985,4d8097c58edaa1439257f139,City Bowl,87,No Rating Yet
41,The Cousins Trattoria,Italian Restaurant,331,-33.926677235428954,18.421202509838977,51379f99e4b04f7260ce8840,City Bowl,29,No Rating Yet
42,House Of Machines,Café,275,-33.921615600585945,18.419389724731445,521898c511d265d4f79bf211,City Bowl,107,No Rating Yet
43,The Poké Co.,Sushi Restaurant,299,-33.921862,18.418623999999998,5accea19bed4835eb87c3041,City Bowl,8,No Rating Yet
44,Fugard Theatre,Theater,499,-33.92717880771957,18.424410697680713,4bcede8d29d4b7132923a9dc,City Bowl,86,No Rating Yet
45,The Village Idiot,Gastropub,453,-33.91963019785271,18.421090721074922,555f5e28498ea0e938a87696,City Bowl,108,No Rating Yet
46,Chef's Warehouse,Gourmet Shop,387,-33.92100804792549,18.418339600414374,4ccfdd336200b1f79f96d028,City Bowl,69,No Rating Yet
47,Truth Coffee HQ,Café,536,-33.92828568736539,18.422794587233103,4fa0c477e4b0c33ec64258bf,City Bowl,615,No Rating Yet
48,Caroline's Fine Wine Cellar,Wine Shop,363,-33.920482499461805,18.421647548675534,4f1415e1d5fb04999e8b0cb4,City Bowl,7,No Rating Yet
49,Bean There Coffee Roastery,Coffee Shop,373,-33.92283515899491,18.41709323728484,4e49354eae60fa723316be60,City Bowl,45,No Rating Yet
50,Cape Heritage Hotel Cape Town,Hotel,404,-33.920829,18.418326,4bc8e896762beee11eae3d38,City Bowl,16,No Rating Yet
51,Grand Parade,Plaza,364,-33.92479551956173,18.42470985788517,4bd867c10b779c74f70d07a0,City Bowl,46,No Rating Yet
52,openwine,Wine Bar,455,-33.922128,18.416443,57d97be6498e4f64864d4d99,City Bowl,10,No Rating Yet
53,The Company's Garden,Park,488,-33.926615085360716,18.417030992890197,4b615fb6f964a52064112ae3,City Bowl,211,No Rating Yet
54,Masala Dosa,Indian Restaurant,379,-33.92437800442552,18.416960207400006,4c6280be4be3b713ef6edce8,City Bowl,23,No Rating Yet
55,New York Bagel,Bagel Shop,573,-33.92812216330304,18.424187362388423,54350aca498e511cba960528,City Bowl,39,No Rating Yet
56,Grub & Vine,Restaurant,356,-33.92139,18.418329999999997,5bbe012951950e002c26ff58,City Bowl,4,No Rating Yet
57,Headquarters,Steakhouse,465,-33.920419243555834,18.417882249456348,4cf68a9a0a71224bc99b1e93,City Bowl,55,No Rating Yet
58,Oumeul Bakkery,Bakery,485,-33.91949158050347,18.42235109522021,5048698de4b0e55a96415624,City Bowl,46,No Rating Yet
59,Giulios,Café,534,-33.918959,18.421861,56273b5a498ecd4ca37c123d,City Bowl,26,No Rating Yet
60,Jason Bakery,Bakery,611,-33.92453842563379,18.414449223651683,4d9580ed454edcb39969b76a,City Bowl,181,No Rating Yet
61,The Book Lounge,Bookstore,626,-33.92930614229909,18.42168843738291,4b9e4a4cf964a5209dd736e3,City Bowl,38,No Rating Yet
62,Charango,Restaurant,396,-33.92200831754915,18.41721519269555,55956ea8498eb48bebf7f563,City Bowl,31,No Rating Yet
63,Bocca,Italian Restaurant,427,-33.922334,18.416673,54524d47498efb7913d525c0,City Bowl,63,No Rating Yet
64,Villa 47,Italian Restaurant,502,-33.919225667593324,18.420307027825373,56f432f6498e1dd7c13576ce,City Bowl,68,No Rating Yet
65,Skinny laMinx,Furniture / Home Store,653,-33.924987260907464,18.414094448089603,502c9a5d067d5b50e0ba9eb8,City Bowl,39,No Rating Yet
66,Hemelhuijs,Café,583,-33.91854038717233,18.41991090418632,4cc07273575d236a34b7c48e,City Bowl,120,No Rating Yet
67,Lola's Café,Café,607,-33.926067281776994,18.415058766227727,4b586bc7f964a520f85628e3,City Bowl,84,No Rating Yet
68,BEERHOUSE,Gastropub,491,-33.925399,18.416083,50c897e7e4b0cd965f396404,City Bowl,278,No Rating Yet
69,Royale Eatery,Burger Joint,639,-33.92642499529305,18.41489374637604,4b5b0a2ef964a5204ee028e3,City Bowl,191,No Rating Yet
70,Stayeasy,Hotel,470,-33.91953,18.4202,5997495e31ac6c1f3bc8ba3c,City Bowl,8,No Rating Yet
71,Kamili Coffee,Café,579,-33.9281946457506,18.42416137870483,5815c9ba38faca7f0edac13e,City Bowl,7,No Rating Yet
72,Folk Coffee Anthropology,Coffee Shop,696,-33.91753472270826,18.422234815093752,56a92621498ec39c6d1af9f9,City Bowl,17,No Rating Yet
73,Hank's Olde Irish,Irish Pub,517,-33.922206545387446,18.41569228011148,56c89511498e4096144c4c14,City Bowl,8,No Rating Yet
74,169 Long Street,Hookah Bar,526,-33.92550201883122,18.41572433527407,4eff47ac0aaffcf6f3ea1a90,City Bowl,6,No Rating Yet
75,Lefty's,BBQ Joint,650,-33.92932934700474,18.422901665223574,528facac498e0501256c6c95,City Bowl,54,No Rating Yet
76,Origin Coffee Roasting,Coffee Shop,791,-33.917168500364625,18.417625794294565,4b66dc61f964a520bf2d2be3,City Bowl,261,No Rating Yet
77,Batavia,Café,594,-33.920753000000005,18.415625,569cc72a498ef7c41842e4f4,City Bowl,8,No Rating Yet
78,South African National Art Gallery,Art Museum,686,-33.928928986628925,18.417033205657393,4b615e77f964a52043112ae3,City Bowl,41,No Rating Yet
79,The General Store,Café,607,-33.91825250731009,18.421313749929237,5608ed91498e663eb282f805,City Bowl,5,No Rating Yet
80,South African Jewish Museum,Museum,799,-33.930045526221825,18.41691624588754,4b657e01f964a52046f22ae3,City Bowl,12,No Rating Yet
81,Loading Bay,Restaurant,780,-33.91731728366644,18.41751470552768,4b5ae1b9f964a5209fd828e3,City Bowl,75,No Rating Yet
82,Bacon on Bree,Breakfast Spot,720,-33.92551572015049,18.41349967216239,55389934498e67b884f39cf2,City Bowl,34,No Rating Yet
83,San Julian Taco & Tequila,Mexican Restaurant,668,-33.91801746757688,18.41866140919453,4c1a77d7624b9c74ab6e1204,City Bowl,26,No Rating Yet
84,Artscape Theatre,Theater,896,-33.919537048903365,18.42929738145661,4b5342ebf964a520b69427e3,City Bowl,139,No Rating Yet
85,Active Sushi,Sushi Restaurant,772,-33.917408247987254,18.4174869406985,559c4dee498ee5bd5a9efe16,City Bowl,21,No Rating Yet
86,The Odyssey,Gastropub,648,-33.92491677354826,18.414130554327592,51a60085498eabc8e6518c7c,City Bowl,33,No Rating Yet
87,Fiction,Nightclub,597,-33.92603811545564,18.41516371671867,4b2434daf964a520b46324e3,City Bowl,55,No Rating Yet
88,"Food Lovers, The Towers",Food Court,780,-33.91945851147964,18.427718198510565,565c25fa498e1d3da85ed493,City Bowl,21,No Rating Yet
89,Atlas Trading,Food & Drink Shop,579,-33.921432063385176,18.41535035864088,4d25c78bbcc1224b43bf931b,City Bowl,7,No Rating Yet
90,Kloof Street House,African Restaurant,960,-33.92830450158452,18.412193932450087,54a88b5c498e72e47a96233f,City Bowl,340,No Rating Yet
91,South China Dim Sum Bar,Dim Sum Restaurant,674,-33.92658573204059,18.414567688170095,4ef9a9de8b81ef98d295e1a7,City Bowl,32,No Rating Yet
92,"Seattle Coffee, The Towers",Coffee Shop,779,-33.919565151029474,18.42779236125447,565d37ef498e7ec1b1844dd8,City Bowl,8,No Rating Yet
93,Lindt Chocolate Studio,Dessert Shop,870,-33.91635811808607,18.4177782882725,4d6257e85b276dcbe6332ec6,City Bowl,12,No Rating Yet
94,Harvest Cafe,Café,614,-33.921240999999995,18.415035999999997,5a17b67ac9f9072c9ad13574,City Bowl,13,No Rating Yet
95,Unframed Ice Cream,Ice Cream Shop,995,-33.92868801576029,18.41204556956696,57a20081498ee7342127f5a5,City Bowl,29,No Rating Yet
96,The Station on Bree,Cocktail Bar,693,-33.925319,18.413736,583873cef229952c8deb00e2,City Bowl,11,No Rating Yet
97,Dias Tavern,Portuguese Restaurant,578,-33.927738688230065,18.42493760476187,4b72c7adf964a52041882de3,City Bowl,54,No Rating Yet
98,African Pride 15 On Orange Hotel,Hotel,836,-33.928587,18.414108,4f1018fc00392d01a694e577,City Bowl,41,No Rating Yet
99,Sea Breeze,Seafood Restaurant,706,-33.92534801566513,18.413609372346357,594e4669c4df1d7f6c47400d,City Bowl,18,No Rating Yet
100,iziko South African Museum,Museum,761,-33.92865594887876,18.41529829304133,4f439830e4b0dc6d5d89dd2d,City Bowl,65,No Rating Yet
101,Roxy's Café,Pub,969,-33.931779428525026,18.417064551053354,4d31e8a1f8c9224b88baabd2,City Bowl,41,No Rating Yet
102,GROUND art caffe,Café,820,-33.91718451956044,18.416862867248827,580dc038d67c5d1952d9ba29,City Bowl,7,No Rating Yet
103,Molten Toffee,Café,984,-33.92860595155709,18.41212333031075,544a7302498e92c459bb4a90,City Bowl,35,No Rating Yet
104,The Yard,Burger Joint,976,-33.93235763040626,18.41924021763723,5049decbd63eaea07a7701d2,City Bowl,133,No Rating Yet
105,Spar,Supermarket,966,-33.91537412,18.41805674,4bf7e2078d30d13a70a4ff17,City Bowl,79,No Rating Yet
106,Sababa Kitchen and Deli,Deli / Bodega,774,-33.92591032311136,18.413039656082926,4e785de7ae60e5ae00352787,City Bowl,10,No Rating Yet
107,Maria's,Greek Restaurant,945,-33.93144188292247,18.416776755493416,4d6cd9cf423d5481d8b3e5b1,City Bowl,41,No Rating Yet
108,Southern Sun Cullinan,Hotel,977,-33.915510147083936,18.42479695191693,4b77a94ff964a520f8a52ee3,City Bowl,62,No Rating Yet
109,Haas,Coffee Shop,480,-33.92716344914026,18.42410703046114,5413fdb0498eec6ac4762769,City Bowl,38,No Rating Yet
110,Mustacchio Caffe,Restaurant,798,-33.92714162782837,18.41340780258179,57a779dd498e1c2e47e9a43d,City Bowl,22,No Rating Yet
111,Cape CrossFit,Gym / Fitness Center,993,-33.93242626827049,18.418688531352554,4cc6bffc4935bfb792b0d1d8,City Bowl,9,No Rating Yet
112,City Bowl Market on Hope,Food,948,-33.93181024599284,18.417816850821293,4db2a70e93a073feb21fbd93,City Bowl,22,No Rating Yet
113,District Six Museum,History Museum,505,-33.927743268712405,18.423503710127804,4bd80bc8dc4b952101407888,City Bowl,89,No Rating Yet
114,La Petite Tarte,Café,898,-33.916158848541635,18.417538629557846,4b4b20f1f964a520c39226e3,City Bowl,38,No Rating Yet
115,Cape Town Holocaust Centre,Museum,817,-33.9301455823008,18.41674122777479,4b6564e9f964a52063ef2ae3,City Bowl,11,No Rating Yet
116,Societi Bistro,French Restaurant,946,-33.92905575502097,18.413027816709768,4bba27f23db7b713cbf8229a,City Bowl,79,No Rating Yet
117,Buena Vista Social Cafe,Cuban Restaurant,623,-33.926208600967364,18.414953963492234,5485b611498edde70661b91c,City Bowl,18,No Rating Yet
118,The Piano Bar,Piano Bar,987,-33.91542444847565,18.417155581762426,50a914d4e4b03f2b094fcddb,City Bowl,83,No Rating Yet
119,Orms Pro Photo,Photography Lab,778,-33.93059545192941,18.422417025973388,4b5ac7a1f964a5204cd428e3,City Bowl,40,No Rating Yet
120,Harringtons,Bar,590,-33.928363902672785,18.424041823326455,57f79a87498e97194953e8c5,City Bowl,10,No Rating Yet
121,Minato,Sushi Restaurant,573,-33.9257409103586,18.415285322788296,4bc4db9af8219c74ecfeb710,City Bowl,4,No Rating Yet
122,Fabric City,Fabric Shop,898,-33.927436545928416,18.429613002500005,4eec47568b81bbbf5bcc36fd,City Bowl,8,No Rating Yet
123,Giovanni's Deliworld,Bakery,255,-33.90782184808231,18.40972751775552,4b51863af964a520ed4e27e3,Atlantic Seaboard,159,No Rating Yet
124,Jason Bakery,Bakery,292,-33.90814555679022,18.410891348801574,5a2cf00b35f9833b4ce7d183,Atlantic Seaboard,25,No Rating Yet
125,Atlantic Point Backpackers Lodge,Hotel,288,-33.90948577917452,18.411593014769963,4d320925c75a6ea8803e0aae,Atlantic Seaboard,15,No Rating Yet
126,Cabrito,Bar,287,-33.90831531811706,18.41098194413961,520bc1a011d235a4fadfa1ac,Atlantic Seaboard,31,No Rating Yet
127,Big Route Gourmet Pizzeria,Pizza Place,247,-33.90777064392352,18.409355365419817,500ec06be4b0bfdb6d36afd4,Atlantic Seaboard,50,No Rating Yet
128,Rocomamas,Burger Joint,244,-33.907756180031576,18.40918560395864,4bae48b1f964a5201d9d3be3,Atlantic Seaboard,49,No Rating Yet
129,El Burro,Mexican Restaurant,281,-33.90839898887066,18.41097445637066,4d0a3452454c6dcbd26e3d8e,Atlantic Seaboard,144,No Rating Yet
130,UpperBloem,Restaurant,333,-33.908406,18.411642999999998,5b11ac0467f62b002c41022c,Atlantic Seaboard,6,No Rating Yet
131,The BIG,Hostel,86,-33.9103,18.40929,5246738611d2ac79d736b01c,Atlantic Seaboard,19,No Rating Yet
132,nü,Juice Bar,427,-33.909010104495145,18.41301459647644,5412b432498eac1f78dbfcaf,Atlantic Seaboard,25,No Rating Yet
133,Gelato Mania,Ice Cream Shop,310,-33.90853352619647,18.411449225286262,4c03dc360d0e0f47a518039a,Atlantic Seaboard,34,No Rating Yet
134,Cape Point Lighthouse,Lighthouse,406,-33.9090503289127,18.412788856138288,5475e1cc498e6bd4fc31f250,Atlantic Seaboard,9,No Rating Yet
135,Woolworths Food,Grocery Store,433,-33.909166676233184,18.41311755211298,4c0a20216071a593b00edf32,Atlantic Seaboard,37,No Rating Yet
136,"Sky Bar, Cape Royale",Cocktail Bar,325,-33.909185562008865,18.411927726072136,4b93afb6f964a520f54c34e3,Atlantic Seaboard,21,No Rating Yet
137,Brenwin Guest House Green Point (South Africa),Hotel,255,-33.910849030902504,18.41101235850715,4be19ace8dd062b5ab693e3c,Atlantic Seaboard,8,No Rating Yet
138,Cape Royale Hotel,Hotel,371,-33.90880711112639,18.412311777962515,4bae1a28f964a5205a843be3,Atlantic Seaboard,46,No Rating Yet
139,Hudsons on Somerset,Burger Joint,396,-33.90905242086595,18.412678374192065,4ce6b7760f196dcb1d5f39ae,Atlantic Seaboard,134,No Rating Yet
140,never@home Design Hostel,Hostel,241,-33.90776853054979,18.4091345368432,547b5710498e141c4cecc8da,Atlantic Seaboard,11,No Rating Yet
141,One&Only Cape Town,Resort,747,-33.90866854189105,18.41646138178,4b700ea8f964a52041052de3,Atlantic Seaboard,174,No Rating Yet
142,Green Point Urban Park,Park,753,-33.90555738278987,18.40221851536896,4d9dc1d6c593a1cdef2b6719,Atlantic Seaboard,109,No Rating Yet
143,Cape Town Stadium,Stadium,686,-33.904078101012956,18.411027109916294,4c049d8d302295213dc9de81,Atlantic Seaboard,199,No Rating Yet
144,Virgin Active Health Club,Gym,645,-33.90633773128665,18.402970923638318,4b4c2b05f964a52025af26e3,Atlantic Seaboard,103,No Rating Yet
145,Vida e Caffè,Coffee Shop,431,-33.90907535559835,18.413077327151708,4bf476342d62952104206058,Atlantic Seaboard,26,No Rating Yet
146,Shift Espresso Bar,Coffee Shop,362,-33.9087686348349,18.41218890327141,53aeb057498e7b9f40cde779,Atlantic Seaboard,34,No Rating Yet
147,Buena Vista Social Cafe,Cuban Restaurant,494,-33.90861206671749,18.4136355555748,4c935eb71221b1f7504619e2,Atlantic Seaboard,21,No Rating Yet
148,Pigalle,Seafood Restaurant,844,-33.913161220900925,18.416743956402897,4bc0aaf8abf495217098bf93,Atlantic Seaboard,111,No Rating Yet
149,Sugar Hotel,Hotel,639,-33.91137198582969,18.41518771707617,4bac5f2ff964a52047f23ae3,Atlantic Seaboard,8,No Rating Yet
150,Grand Cafe and Beach,Café,578,-33.90553,18.411939999999998,4be254e22fc7d13a6d5e083a,Atlantic Seaboard,186,No Rating Yet
151,Mano's,Gastropub,435,-33.909412097053725,18.41318766918164,4b62dec0f964a52087562ae3,Atlantic Seaboard,25,No Rating Yet
152,Watershed,Market,943,-33.907116168436936,18.41816228150922,54429072498e71ae5f3585e7,Atlantic Seaboard,202,No Rating Yet
153,Ultra Liquors,Liquor Store,235,-33.90776717277886,18.408402247930677,4c93190b1221b1f79d5417e2,Atlantic Seaboard,14,No Rating Yet
154,CitySightseeing Cape Town,Tour Provider,881,-33.90741867987649,18.417575595352176,5030d9a5e4b0bde727182abc,Atlantic Seaboard,21,No Rating Yet
